key,en,ar,notes
apiKeyManagement.subtitle.publishable,Manage API keys used in the storefront to limit the scope of requests to specific sales channels.,إدارة مفاتيح API المستخدمة في واجهة المتجر لتحديد نطاق الطلبات إلى قنوات بيع محددة.,
apiKeyManagement.subtitle.secret,Manage API keys used to authenticate admin users in admin applications.,إدارة مفاتيح API المستخدمة لمصادقة المستخدمين الإداريين في تطبيقات الإدارة.,
apiKeyManagement.table.createdAtHeader,Revoked At,تم الإلغاء في,
apiKeyManagement.table.lastUsedAtHeader,Last Used At,آخر استخدام في,
apiKeyManagement.type.publishable,Publishable,قابل للنشر,
apiKeyManagement.type.secret,Secret,سري,
app.keyboardShortcuts.commandShortcut,Commands,الأوامر,
app.keyboardShortcuts.navigation.goToCampaigns,Campaigns,الحملات,
app.keyboardShortcuts.navigation.goToCategories,Categories,الفئات,
app.keyboardShortcuts.navigation.goToCollections,Collections,المجموعات,
app.keyboardShortcuts.navigation.goToCustomerGroups,Customer Groups,مجموعات العملاء,
app.keyboardShortcuts.navigation.goToCustomers,Customers,العملاء,
app.keyboardShortcuts.navigation.goToInventory,Inventory,المخزون,
app.keyboardShortcuts.navigation.goToOrders,Orders,الطلبات,
app.keyboardShortcuts.navigation.goToPriceLists,Price Lists,قوائم الأسعار,
app.keyboardShortcuts.navigation.goToProducts,Products,المنتجات,
app.keyboardShortcuts.navigation.goToPromotions,Promotions,العروض الترويجية,
app.keyboardShortcuts.navigation.goToReservations,Reservations,الحجوزات,
app.keyboardShortcuts.pageShortcut,Jump to,انتقل إلى,
app.keyboardShortcuts.settingShortcut,Settings,الإعدادات,
app.keyboardShortcuts.settings.goToLocations,Locations,المواقع,
app.keyboardShortcuts.settings.goToProductTypes,Product Types,أنواع المنتجات,
app.keyboardShortcuts.settings.goToProfile,Profile,الملف الشخصي,
app.keyboardShortcuts.settings.goToPublishableApiKeys,Publishable API Keys,مفاتيح API القابلة للنشر,
app.keyboardShortcuts.settings.goToRegions,Regions,المناطق,
app.keyboardShortcuts.settings.goToReturnReasons,Return reasons,أسباب الإرجاع,
app.keyboardShortcuts.settings.goToSalesChannels,Sales Channels,قنوات المبيعات,
app.keyboardShortcuts.settings.goToSecretApiKeys,Secret API Keys,مفاتيح API السرية,
app.keyboardShortcuts.settings.goToSettings,Settings,الإعدادات,
app.keyboardShortcuts.settings.goToStore,Store,المتجر,
app.keyboardShortcuts.settings.goToTaxRegions,Tax Regions,مناطق الضرائب,
app.keyboardShortcuts.settings.goToUsers,Users,المستخدمين,
app.keyboardShortcuts.settings.goToWorkflows,Workflows,سير العمل,
app.keyboardShortcuts.then,then,ثم,
app.menus.actions.logout,Log out,تسجيل الخروج,
app.menus.store.label,Store,المتجر,
app.menus.store.storeSettings,Store settings,إعدادات المتجر,
app.menus.user.changelog,Changelog,سجل التغييرات,
app.menus.user.documentation,Documentation,التوثيق,
app.menus.user.profileSettings,Profile settings,إعدادات الملف الشخصي,
app.menus.user.shortcuts,Shortcuts,الاختصارات,
app.menus.user.theme.dark,Dark,داكن,
app.menus.user.theme.label,Theme,السمة,
app.menus.user.theme.light,Light,فاتح,
app.menus.user.theme.system,System,النظام,
app.nav.accessibility.description,Navigation menu for the dashboard.,قائمة التنقل للوحة التحكم.,
app.nav.accessibility.title,Navigation,التنقل,
app.nav.common.extensions,Extensions,الملحقات,
app.nav.main.store,Store,المتجر,
app.nav.main.storeSettings,Store settings,إعدادات المتجر,
app.nav.settings.developer,Developer,المطور,
app.nav.settings.general,General,عام,
app.nav.settings.header,Settings,الإعدادات,
app.nav.settings.myAccount,My Account,حسابي,
app.search.allAreas,All areas,جميع المناطق,
app.search.description,"Search your entire store, including orders, products, customers, and more.",ابحث في متجرك بالكامل، بما في ذلك الطلبات، المنتجات، العملاء، والمزيد.,
app.search.emptySearchMessage,Enter a keyword or phrase to explore.,أدخل كلمة أو عبارة لاستكشاف.,
app.search.emptySearchTitle,Type to search,اكتب للبحث,
app.search.groups.all,All areas,جميع المناطق,
app.search.groups.campaign,Campaigns,الحملات,
app.search.groups.category,Categories,الفئات,
app.search.groups.collection,Collections,المجموعات,
app.search.groups.command,Commands,الأوامر,
app.search.groups.customer,Customers,العملاء,
app.search.groups.customerGroup,Customer Groups,مجموعات العملاء,
app.search.groups.inventory,Inventory,المخزون,
app.search.groups.location,Locations,المواقع,
app.search.groups.navigation,Navigation,التنقل,
app.search.groups.order,Orders,الطلبات,
app.search.groups.priceList,Price Lists,قوائم الأسعار,
app.search.groups.product,Products,المنتجات,
app.search.groups.productTag,Product Tags,علامات المنتجات,
app.search.groups.productType,Product Types,أنواع المنتجات,
app.search.groups.productVariant,Product Variants,متغيرات المنتجات,
app.search.groups.promotion,Promotions,العروض الترويجية,
app.search.groups.publishableApiKey,Publishable API Keys,مفاتيح API القابلة للنشر,
app.search.groups.region,Regions,المناطق,
app.search.groups.reservation,Reservations,الحجوزات,
app.search.groups.returnReason,Return Reasons,أسباب الإرجاع,
app.search.groups.salesChannel,Sales Channels,قنوات المبيعات,
app.search.groups.secretApiKey,Secret API Keys,مفاتيح API السرية,
app.search.groups.shippingProfile,Shipping Profiles,ملفات الشحن,
app.search.groups.taxRegion,Tax Regions,مناطق الضرائب,
app.search.groups.user,Users,المستخدمين,
app.search.label,Search,بحث,
app.search.loadMore,Load {{count}} more,تحميل {{count}} المزيد,
app.search.navigation,Navigation,التنقل,
app.search.noResultsMessage,We couldn't find anything that matched your search.,لم نتمكن من العثور على أي شيء يطابق بحثك.,
app.search.noResultsTitle,No results found,لم يتم العثور على نتائج,
app.search.openResult,Open result,فتح النتيجة,
app.search.placeholder,Jump to or find anything...,انتقل إلى أو ابحث عن أي شيء...,
app.search.showMore,Show more,عرض المزيد,
app.search.title,Search,بحث,
auth.login.authenticationFailed,Authentication failed,,
auth.login.cloud,Log in with Medusa Cloud,,
campaigns.budget.attribute.customer_email,email,,
campaigns.budget.attribute.customer_id,customer,,
campaigns.budget.create.header,Campaign Budget,ميزانية الحملة,
campaigns.budget.create.hint,Create a budget for the campaign.,إنشاء ميزانية للحملة.,
campaigns.budget.details,Campaign budget,ميزانية الحملة,
campaigns.budget.edit.header,Edit Campaign Budget,تحرير ميزانية الحملة,
campaigns.budget.fields.budgetAttribute,Limit usage per,,
campaigns.budget.fields.budgetAttributeTooltip,Define how many times the promotion can be used by each customer or email.,,
campaigns.budget.fields.currency,Currency,العملة,
campaigns.budget.fields.limit,Limit,الحد,
campaigns.budget.fields.totalUsedByAttribute,Budget limit per: {{attribute}},,
campaigns.budget.fields.totalUsedByAttributeCustomerId,Budget limit per customer,,
campaigns.budget.fields.totalUsedByAttributeEmail,Budget limit per email,,
campaigns.budget.fields.type,Type,النوع,
campaigns.budget.fields.used,Used,المستخدم,
campaigns.budget.type.spend.description,Set a limit on the total discounted amount of all promotion usages.,تحديد حد للمبلغ الإجمالي المخفض لجميع استخدامات العرض الترويجي.,
campaigns.budget.type.spend.title,Spend,الإنفاق,
campaigns.budget.type.usage.description,Set a limit on how many times the promotion can be used.,تحديد حد لعدد مرات استخدام العرض الترويجي.,
campaigns.budget.type.usage.title,Usage,الاستخدام,
campaigns.budget.type.useByAttribute.description,Set a limit on how many times the promotion can be used by a specific attribute value.,,
campaigns.budget.type.useByAttribute.title,"Usage by attribute (customer id, email, etc.)",,
campaigns.budget.type.useByAttribute.titleCustomerId,Usage per customer,,
campaigns.budget.type.useByAttribute.titleEmail,Usage per email,,
campaigns.configuration.edit.description,Edit the configuration of the campaign.,تحرير تكوين الحملة.,
campaigns.configuration.edit.header,Edit Campaign Configuration,تحرير تكوين الحملة,
campaigns.configuration.edit.successToast,Campaign configuration was successfully updated.,تم تحديث تكوين الحملة بنجاح.,
campaigns.configuration.header,Configuration,التكوين,
campaigns.create.description,Create a promotional campaign.,إنشاء حملة ترويجية.,
campaigns.create.header,Create Campaign,إنشاء حملة,
campaigns.create.hint,Create a promotional campaign.,إنشاء حملة ترويجية.,
campaigns.create.successToast,Campaign '{{name}}' was successfully created.,تم إنشاء الحملة '{{name}}' بنجاح.,
campaigns.create.title,Create Campaign,إنشاء حملة,
campaigns.delete.description,You are about to delete the campaign '{{name}}'. This action cannot be undone.,أنت على وشك حذف الحملة '{{name}}'. لا يمكن التراجع عن هذا الإجراء.,
campaigns.delete.successToast,Campaign '{{name}}' was successfully deleted.,تم إنشاء الحملة '{{name}}' بنجاح.,
campaigns.delete.title,Are you sure?,هل أنت متأكد؟,
campaigns.deleteCampaignWarning,You are about to delete the campaign {{name}}. This action cannot be undone.,أنت على وشك حذف الحملة {{name}}. لا يمكن التراجع عن هذا الإجراء.,
campaigns.details,Campaign details,تفاصيل الحملة,
campaigns.domain,Campaigns,الحملات,
campaigns.edit.description,Edit the details of the campaign.,تحرير تفاصيل الحملة.,
campaigns.edit.header,Edit Campaign,تحرير الحملة,
campaigns.edit.successToast,Campaign '{{name}}' was successfully updated.,تم تحديث الحملة '{{name}}' بنجاح.,
campaigns.fields.budget_limit,Budget limit,حد الميزانية,
campaigns.fields.campaign_id.hint,Disabled campaigns have budget in a different currency than the promotion.,تظهر فقط الحملات التي تحتوي على نفس رمز العملة مثل العرض الترويجي في هذه القائمة.,
campaigns.fields.end_date,End date,تاريخ الانتهاء,
campaigns.fields.identifier,Identifier,المعرف,
campaigns.fields.name,Name,الاسم,
campaigns.fields.start_date,Start date,تاريخ البدء,
campaigns.fields.totalUsedByAttribute,Total used,,
campaigns.fields.total_spend,Budget spent,الميزانية المنفقة,
campaigns.fields.total_used,Budget used,الميزانية المستخدمة,
campaigns.promotions.add.list.noRecordsMessage,Create a promotion first.,قم بإنشاء عرض ترويجي أولاً.,
campaigns.promotions.alreadyAdded,This promotion has already been added to the campaign.,تمت إضافة هذا العرض الترويجي بالفعل إلى الحملة.,
campaigns.promotions.alreadyAddedDiffCampaign,This promotion has already been added to a different campaign ({{name}}).,تمت إضافة هذا العرض الترويجي بالفعل إلى حملة مختلفة ({{name}}).,
campaigns.promotions.currencyMismatch,Currency of the promotion and campaign doesn't match,عملة العرض الترويجي والحملة لا تتطابق,
campaigns.promotions.list.noRecordsMessage,There are no promotions in the campaign.,لا توجد عروض ترويجية في الحملة.,
campaigns.promotions.remove.description,You are about to remove {{count}} promotion(s) from the campaign. This action cannot be undone.,أنت على وشك إزالة {{count}} عرض ترويجي من الحملة. لا يمكن التراجع عن هذا الإجراء.,
campaigns.promotions.remove.title,Remove promotion from campaign,إزالة العرض الترويجي من الحملة,
campaigns.promotions.toast.success,Successfully added {{count}} promotion(s) to campaign,تمت إضافة {{count}} عرض ترويجي إلى الحملة بنجاح,
campaigns.status.active,Active,نشط,
campaigns.status.expired,Expired,منتهي,
campaigns.status.scheduled,Scheduled,مجدول,
campaigns.totalSpend,<0>{{amount}}</0> <1>{{currency}}</1>,<0>{{amount}}</0> <1>{{currency}}</1>,
categories.create.header,Create Category,إنشاء فئة,
categories.create.hint,Create a new category to organize your products.,إنشاء فئة جديدة لتنظيم منتجاتك.,
categories.create.successToast,Category {{name}} was successfully created.,تم إنشاء الفئة {{name}} بنجاح.,
categories.create.tabs.details,Details,التفاصيل,
categories.create.tabs.organize,Organize Ranking,تنظيم الترتيب,
categories.delete.confirmation,You are about to delete the category {{name}}. This action cannot be undone.,أنت على وشك حذف الفئة {{name}}. لا يمكن التراجع عن هذا الإجراء.,
categories.delete.successToast,Category {{name}} was successfully deleted.,تم حذف الفئة {{name}} بنجاح.,
categories.domain,Categories,الفئات,
categories.edit.description,Edit the category to update its details.,تحرير الفئة لتحديث تفاصيلها.,
categories.edit.header,Edit Category,تحرير الفئة,
categories.edit.successToast,Category was successfully updated.,تم تحديث الفئة بنجاح.,
categories.fields.children.label,Children,الأطفال,
categories.fields.new.label,New,جديد,
categories.fields.path.label,Path,المسار,
categories.fields.path.tooltip,Show the full path of the category.,عرض المسار الكامل للفئة.,
categories.fields.status.active,Active,نشط,
categories.fields.status.inactive,Inactive,غير نشط,
categories.fields.status.label,Status,الحالة,
categories.fields.visibility.internal,Internal,داخلي,
categories.fields.visibility.label,Visibility,الرؤية,
categories.fields.visibility.public,Public,عام,
categories.organize.action,Edit ranking,تحرير الترتيب,
categories.organize.header,Organize,تنظيم,
categories.products.add.disabledTooltip,The product is already in this category.,المنتج موجود بالفعل في هذه الفئة.,
categories.products.add.successToast_one,Added {{count}} product to the category.,تمت إضافة {{count}} منتج إلى الفئة.,
categories.products.add.successToast_other,Added {{count}} products to the category.,تمت إضافة {{count}} منتجات إلى الفئة.,
categories.products.list.noRecordsMessage,There are no products in the category.,لا توجد منتجات في الفئة.,
categories.products.remove.confirmation_one,You are about to remove {{count}} product from the category. This action cannot be undone.,أنت على وشك إزالة {{count}} منتج من الفئة. لا يمكن التراجع عن هذا الإجراء.,
categories.products.remove.confirmation_other,You are about to remove {{count}} products from the category. This action cannot be undone.,أنت على وشك إزالة {{count}} منتجات من الفئة. لا يمكن التراجع عن هذا الإجراء.,
categories.products.remove.successToast_one,Removed {{count}} product from the category.,تمت إزالة {{count}} منتج من الفئة.,
categories.products.remove.successToast_other,Removed {{count}} products from the category.,تمت إزالة {{count}} منتجات من الفئة.,
categories.subtitle,"Organize products into categories, and manage those categories' ranking and hierarchy.",تنظيم المنتجات في فئات، وإدارة ترتيب الفئات وتسلسلها الهرمي.,
collections.createCollection,Create Collection,إنشاء مجموعة,
collections.createCollectionHint,Create a new collection to organize your products.,إنشاء مجموعة جديدة لتنظيم منتجاتك.,
collections.createSuccess,Collection created successfully.,تم إنشاء المجموعة بنجاح.,
collections.deleteWarning,You are about to delete the collection {{title}}. This action cannot be undone.,أنت على وشك حذف المجموعة {{title}}. لا يمكن التراجع عن هذا الإجراء.,
collections.domain,Collections,المجموعات,
collections.editCollection,Edit Collection,تحرير المجموعة,
collections.handleTooltip,"The handle is used to reference the collection in your storefront. If not specified, the handle will be generated from the collection title.",يستخدم المقبض للإشارة إلى المجموعة في واجهة متجرك. إذا لم يتم تحديده، سيتم إنشاء المقبض من عنوان المجموعة.,
collections.products.add.successToast_one,Product was successfully added to the collection.,تمت إضافة المنتج إلى المجموعة بنجاح.,
collections.products.add.successToast_other,Products were successfully added to the collection.,تمت إضافة المنتجات إلى المجموعة بنجاح.,
collections.products.list.noRecordsMessage,There are no products in the collection.,لا توجد منتجات في المجموعة.,
collections.products.remove.successToast_one,Product was successfully removed from the collection.,تمت إزالة المنتج من المجموعة بنجاح.,
collections.products.remove.successToast_other,Products were successfully removed from the collection.,تمت إزالة المنتجات من المجموعة بنجاح.,
collections.removeProductsWarning_one,You are about to remove {{count}} product from the collection. This action cannot be undone.,أنت على وشك إزالة {{count}} منتج من المجموعة. لا يمكن التراجع عن هذا الإجراء.,
collections.removeProductsWarning_other,You are about to remove {{count}} products from the collection. This action cannot be undone.,أنت على وشك إزالة {{count}} منتجات من المجموعة. لا يمكن التراجع عن هذا الإجراء.,
collections.removeSingleProductWarning,You are about to remove the product {{title}} from the collection. This action cannot be undone.,أنت على وشك إزالة المنتج {{title}} من المجموعة. لا يمكن التراجع عن هذا الإجراء.,
collections.subtitle,Organize products into collections.,تنظيم المنتجات في مجموعات.,
customerGroups.create.header,Create Customer Group,إنشاء مجموعة عملاء,
customerGroups.create.hint,Create a new customer group to segment your customers.,إنشاء مجموعة عملاء جديدة لتقسيم عملائك.,
customerGroups.create.successToast,Customer group {{name}} was successfully created.,تم إنشاء مجموعة العملاء {{name}} بنجاح.,
customerGroups.customers.add.list.noRecordsMessage,Create a customer first.,أنشئ عميلًا أولاً.,
customerGroups.customers.add.successToast_one,Customer was successfully added to the group.,تمت إضافة العميل إلى المجموعة بنجاح.,
customerGroups.customers.add.successToast_other,Customers were successfully added to the group.,تمت إضافة العملاء إلى المجموعة بنجاح.,
customerGroups.customers.alreadyAddedTooltip,The customer has already been added to the group.,تمت إضافة العميل بالفعل إلى المجموعة.,
customerGroups.customers.list.noRecordsMessage,This group doesn't have customers.,هذه المجموعة لا تحتوي على عملاء.,
customerGroups.customers.remove.description_one,You are about to remove {{count}} customer from the customer group. This action cannot be undone.,أنت على وشك إزالة {{count}} عميل من مجموعة العملاء. لا يمكن التراجع عن هذا الإجراء.,
customerGroups.customers.remove.description_other,You are about to remove {{count}} customers from the customer group. This action cannot be undone.,أنت على وشك إزالة {{count}} عملاء من مجموعة العملاء. لا يمكن التراجع عن هذا الإجراء.,
customerGroups.customers.remove.title_one,Remove customer,إزالة العميل,
customerGroups.customers.remove.title_other,Remove customers,إزالة العملاء,
customerGroups.delete.description,You are about to delete the customer group {{name}}. This action cannot be undone.,أنت على وشك حذف مجموعة العملاء {{name}}. لا يمكن التراجع عن هذا الإجراء.,
customerGroups.delete.successToast,Customer group {{name}} was successfully deleted.,تم حذف مجموعة العملاء {{name}} بنجاح.,
customerGroups.delete.title,Delete Customer Group,حذف مجموعة العملاء,
customerGroups.domain,Customer Groups,مجموعات العملاء,
customerGroups.edit.header,Edit Customer Group,تحرير مجموعة العملاء,
customerGroups.edit.successToast,Customer group {{name}} was successfully updated.,تم تحديث مجموعة العملاء {{name}} بنجاح.,
customerGroups.list.empty.description,There are no customer groups to display.,لا يوجد مجموعات عملاء.,
customerGroups.list.empty.heading,No customer groups,لا يوجد مجموعات عملاء.,
customerGroups.list.filtered.description,No customer groups match the current filter criteria.,هذا المنتج لديه {{count}} مجموعات عملاء معروفة.,
customerGroups.list.filtered.heading,No results,مجموعات عملاء معروفة,
customerGroups.subtitle,Organize customers into groups. Groups can have different promotions and prices.,تنظيم العملاء في مجموعات. يمكن أن تحتوي المجموعات على عروض ترويجية وأسعار مختلفة.,
customers.addresses.create.header,Create Address,,
customers.addresses.create.hint,Create a new address for the customer.,,
customers.addresses.create.successToast,Address was successfully created.,,
customers.addresses.fields.address1,Address 1,,
customers.addresses.fields.address2,Address 2,,
customers.addresses.fields.addressName,Address name,,
customers.addresses.fields.city,City,,
customers.addresses.fields.company,Company,,
customers.addresses.fields.country,Country,,
customers.addresses.fields.countryCode,Country code,,
customers.addresses.fields.phone,Phone,,
customers.addresses.fields.postalCode,Postal code,,
customers.addresses.fields.province,Province,,
customers.addresses.fields.provinceCode,Province code,,
customers.addresses.title,Addresses,,
customers.create.header,Create Customer,إنشاء عميل,
customers.create.hint,Create a new customer and manage their details.,إنشاء عميل جديد وإدارة تفاصيله.,
customers.create.successToast,Customer {{email}} was successfully created.,تم إنشاء العميل {{email}} بنجاح.,
customers.delete.description,You are about to delete the customer {{email}}. This action cannot be undone.,أنت على وشك حذف العميل {{email}}. لا يمكن التراجع عن هذا الإجراء.,
customers.delete.successToast,Customer {{email}} was successfully deleted.,تم حذف العميل {{email}} بنجاح.,
customers.delete.title,Delete Customer,حذف العميل,
customers.domain,Customers,العملاء,
customers.edit.emailDisabledTooltip,The email address cannot be changed for registered customers.,لا يمكن تغيير عنوان البريد الإلكتروني للعملاء المسجلين.,
customers.edit.header,Edit Customer,تحرير العميل,
customers.edit.successToast,Customer {{email}} was successfully updated.,تم تحديث العميل {{email}} بنجاح.,
customers.fields.groups,Groups,المجموعات,
customers.fields.guest,Guest,ضيف,
customers.fields.registered,Registered,مسجل,
customers.groups.add.list.noRecordsMessage,Please create a customer group first.,يرجى إنشاء مجموعة عملاء أولاً.,
customers.groups.add.success,Customer added to: {{groups}}.,تمت إضافة العميل إلى: {{groups}}.,
customers.groups.alreadyAddedTooltip,The customer is already in this customer group.,العميل موجود بالفعل في هذه المجموعة.,
customers.groups.label,Customer groups,مجموعات العملاء,
customers.groups.list.noRecordsMessage,This customer doesn't belong to any group.,هذا العميل لا ينتمي إلى أي مجموعة.,
customers.groups.remove,"Are you sure you want to remove the customer from ""{{name}}"" customer group?","هل أنت متأكد أنك تريد إزالة العميل من مجموعة العملاء ""{{name}}""؟",
customers.groups.removeMany,Are you sure you want to remove customer from following customer groups: {{groups}}?,هل أنت متأكد أنك تريد إزالة العميل من مجموعات العملاء التالية: {{groups}}؟,
customers.groups.removed.list.noRecordsMessage,Please create a customer group first.,يرجى إنشاء مجموعة عملاء أولاً.,
customers.groups.removed.success,Customer removed from: {{groups}}.,تمت إزالة العميل من: {{groups}}.,
customers.guest,Guest,ضيف,
customers.hasAccount,Has account,لديه حساب,
customers.list.noRecordsMessage,Your customers will show up here.,سيظهر عملاؤك هنا.,
customers.registered,Registered,مسجل,
dataGrid.columns.disabled,Changing which columns are visible is disabled.,تغيير الأعمدة المرئية معطل.,
