key,en,ar,notes
products.listing.description,Browse our full catalog of networking and surveillance products.,تصفح كتالوجنا الكامل من منتجات الشبكات والمراقبة.,
products.listing.empty,No products available yet.,لا توجد منتجات متاحة حتى الآن.,
products.listing.paginationLabel,Pagination,ترقيم الصفحات,aria-label
products.listing.previous,← Previous,← السابق,
products.listing.next,Next →,التالي →,
products.listing.pageOf,{current} / {total},{current} / {total},{current} and {total} interpolated
products.filters.heading,Filters,الفلاتر,
products.filters.collections,Collections,المجموعات,
products.filters.categories,Categories,التصنيفات,
products.filters.allCategories,All,الكل,
products.filters.allCollections,All,الكل,
products.filters.priceRange,Price Range,نطاق السعر,
products.filters.clearAll,Clear filters,مسح الفلاتر,
products.filters.priceBuckets.under100,Under 100,أقل من 100,price filter bucket
products.filters.priceBuckets.100to500,100 – 500,100 – 500,price filter bucket — same in both locales
products.filters.priceBuckets.over500,500+,أكثر من 500,price filter bucket
products.detail.addToCart,Add to Cart,أضف إلى السلة,
products.detail.buyNow,Buy now,اشترِ الآن,
products.detail.galleryPrev,Previous image,الصورة السابقة,aria-label on PDP gallery arrows
products.detail.galleryNext,Next image,الصورة التالية,aria-label on PDP gallery arrows
products.detail.tabsAria,Product information tabs,تبويبات معلومات المنتج,aria-label on PDP tabs
products.detail.carouselPrev,Scroll previous,التمرير للخلف,aria-label on recommendations carousel
products.detail.carouselNext,Scroll next,التمرير للأمام,aria-label on recommendations carousel
products.detail.adding,Adding…,جارٍ الإضافة…,button loading state
products.detail.added,Added!,تمت الإضافة!,button success state
products.detail.variants,Variants,الإصدارات,
products.detail.variantDefault,Variant,إصدار,
products.detail.sku,SKU,الرمز,
products.detail.material,Material,الخامة,
products.detail.weight,Weight,الوزن,
products.detail.origin,Country of Origin,بلد المنشأ,
products.detail.details,Product Details,تفاصيل المنتج,
products.detail.inStock,In stock,متوفر,
products.detail.freeShipping,Free shipping on orders over EGP 1000,شحن مجاني للطلبات فوق 1000 جنيه,
products.detail.benefits.authentic,100% authentic products,منتجات أصلية 100%,
products.detail.benefits.warranty,Manufacturer warranty included,ضمان المُصنّع شامل,
products.detail.benefits.fastDelivery,Fast delivery across Egypt,توصيل سريع لجميع أنحاء مصر,
products.detail.benefits.cashOnDelivery,Cash on delivery available,الدفع عند الاستلام متاح,
products.detail.chooseVariant,Choose your option,اختر خيارك,
products.detail.descriptionHeading,Description,الوصف,
products.detail.specifications,Specifications,المواصفات,
products.detail.category,Category,الفئة,
products.detail.collection,Collection,المجموعة,
products.detail.tags,Tags,الوسوم,
products.detail.type,Type,النوع,
products.detail.options,Options,الخيارات,
products.detail.dimensions,Dimensions,الأبعاد,
products.detail.reviews.title,Customer Reviews,تقييمات العملاء,
products.detail.reviews.subtitle,What our customers say about this product,ما يقوله عملاؤنا عن هذا المنتج,
products.detail.reviews.noReviewsTitle,No reviews yet,لا توجد تقييمات بعد,
products.detail.reviews.noReviewsBody,Be the first to share your experience with this product.,كن أول من يشارك تجربته مع هذا المنتج.,
products.detail.relatedTitle,Related Products,منتجات ذات صلة,
products.detail.relatedSubtitle,More from this collection,المزيد من هذه المجموعة,
products.detail.suggestedTitle,You May Also Like,قد يعجبك أيضًا,
products.detail.suggestedSubtitle,Discover other products customers love,اكتشف منتجات أخرى يحبها العملاء,
products.card.quickView,Quick view,معاينة سريعة,
products.card.buyNow,Buy now,اشترِ الآن,
products.card.addedToast,Added to cart,تمت الإضافة إلى السلة,
products.card.addToCartAria,Add to cart,أضف إلى السلة,
products.quickView.title,Quick view,معاينة سريعة,
products.quickView.close,Close,إغلاق,
products.quickView.viewDetails,View full details,عرض كامل التفاصيل,
products.quickView.chooseVariant,Choose a variant,اختر الإصدار,
wishlist.pageTitle,Wishlist,المفضلة,
wishlist.pageDescription,Products you have saved to your wishlist.,المنتجات التي حفظتها في قائمتك.,
wishlist.empty,Your wishlist is empty.,قائمة المفضلة فارغة.,
wishlist.emptyCta,Browse products,تصفح المنتجات,
wishlist.add,Save to wishlist,حفظ في المفضلة,
wishlist.remove,Remove from wishlist,إزالة من المفضلة,
wishlist.addedAria,Added to wishlist,تمت الإضافة إلى المفضلة,
wishlist.removedAria,Removed from wishlist,تمت الإزالة من المفضلة,
wishlist.removeItem,Remove,إزالة,
compare.pageTitle,Compare,المقارنة,
compare.pageDescription,Compare product specifications side by side.,قارن بين مواصفات المنتجات جنبًا إلى جنب.,
compare.empty,Nothing to compare yet.,لا توجد منتجات للمقارنة بعد.,
compare.emptyCta,Browse products,تصفح المنتجات,
compare.add,Add to compare,أضف إلى المقارنة,
compare.remove,Remove from compare,إزالة من المقارنة,
compare.full,You can compare up to {max} products. Remove one to add another.,يمكنك مقارنة {max} منتجات كحدٍّ أقصى. أزل أحدها لإضافة غيره.,
compare.addedAria,Added to compare,تمت الإضافة إلى المقارنة,
compare.removedAria,Removed from compare,تمت الإزالة من المقارنة,
compare.removeColumn,Remove from compare,إزالة من المقارنة,
compare.headers.image,Image,الصورة,
compare.headers.title,Title,الاسم,
compare.headers.price,Price,السعر,
compare.headers.subtitle,Subtitle,الوصف المختصر,
compare.headers.material,Material,الخامة,
compare.headers.weight,Weight,الوزن,
compare.headers.origin,Origin,بلد المنشأ,
collections.empty,No products in this collection yet.,لا توجد منتجات في هذه المجموعة حتى الآن.,
collections.listing.title,All Collections,جميع المجموعات,
collections.listing.empty,No collections available yet.,لا توجد مجموعات متاحة حتى الآن.,
collections.listing.metaTitle,Collections — Sama Link Store,المجموعات — متجر سما لينك,
collections.listing.metaDescription,Browse all product collections at Sama Link Store.,تصفح جميع مجموعات المنتجات في متجر سما لينك.,
collections.paginationLabel,Pagination,ترقيم الصفحات,aria-label
collections.previous,← Previous,← السابق,
collections.next,Next →,التالي →,
collections.pageOf,{current} / {total},{current} / {total},{current} and {total} interpolated
pages.about.title,About Us,عن المتجر,
pages.faq.title,FAQ,الأسئلة الشائعة,
pages.contact.title,Contact Us,تواصل معنا,
pages.shippingReturns.title,Shipping & Returns,الشحن والإرجاع,
pages.privacy.title,Privacy Policy,سياسة الخصوصية,
pages.terms.title,Terms & Conditions,الشروط والأحكام,
pages.fallbackBody,This page is coming soon.,هذه الصفحة ستتوفر قريبًا.,
nav.home,Home,الرئيسية,
nav.megaMenu.productsTrigger,Products,المنتجات,desktop mega menu trigger — panel lists categories
nav.megaMenu.collectionsTrigger,Collections,المجموعات,desktop mega menu trigger — panel lists collections
nav.megaMenu.viewAllProducts,View all products,عرض كل المنتجات,footer link in products mega panel
nav.megaMenu.viewAllCollections,View all collections,عرض كل المجموعات,footer link in collections mega panel
nav.megaMenu.emptyCategories,No categories yet.,لا توجد تصنيفات بعد.,empty state when Medusa returns no categories
nav.megaMenu.emptyCollections,No collections yet.,لا توجد مجموعات بعد.,empty state when Medusa returns no collections
trackOrder.title,Track Order,تتبع الطلب,
trackOrder.body,Order tracking will be available soon.,ستتوفر خدمة تتبع الطلبات قريبًا.,
footer.copyright,All rights reserved,جميع الحقوق محفوظة,
footer.privacy,Privacy Policy,سياسة الخصوصية,
footer.terms,Terms & Conditions,الشروط والأحكام,
footer.contact,Contact Us,تواصل معنا,
footer.shop,Shop,تسوق,footer column heading
footer.support,Support,الدعم,footer column heading
footer.company,Company,الشركة,footer column heading
footer.allProducts,All Products,جميع المنتجات,
footer.collections,Collections,المجموعات,
footer.newArrivals,New Arrivals,وصل حديثاً,
footer.sale,Sale,تخفيضات,
footer.faq,FAQ,الأسئلة الشائعة,
footer.shippingReturns,Shipping & Returns,الشحن والإرجاع,
footer.trackOrder,Track Order,تتبع الطلب,
footer.about,About,من نحن,
footer.tagline,Quality products delivered to your door.,منتجات عالية الجودة تصل إلى باب منزلك.,
footer.builtWithCare,Built with care in the Arab world.,صُنع بعناية في العالم العربي.,
footer.copyrightLine,© {year} {storeName}. {rights},© {year} {storeName}. {rights},{year} {storeName} {rights} interpolated
meta.root.description,Your destination for quality products.,,MVP-10 SEO — root layout description; AR pending human translation (ADR-040)
meta.cart.description,Review items in your cart and proceed to checkout.,,MVP-10 SEO — noindex route
meta.checkout.address.description,Enter your shipping address to continue checkout.,,MVP-10 SEO — noindex route
meta.checkout.shipping.description,Choose a shipping method for your order.,,MVP-10 SEO — noindex route
meta.checkout.payment.description,Select your preferred payment method.,,MVP-10 SEO — noindex route
meta.checkout.review.description,Review your order before placing it.,,MVP-10 SEO — noindex route
meta.checkout.confirmed.description,Your order has been confirmed.,تم تاكيد طلبك,MVP-10 SEO — noindex route
meta.trackOrder.description,Track the status of your order.,,MVP-10 SEO — noindex route
meta.pages.about.description,Learn about Sama Link Store — our story and values.,,MVP-10 SEO — info page description
meta.pages.faq.description,Frequently asked questions about Sama Link Store orders and services.,,MVP-10 SEO — info page description
meta.pages.contact.description,Get in touch with Sama Link Store customer support.,,MVP-10 SEO — info page description
meta.pages.shippingReturns.description,Shipping and returns information for Sama Link Store orders.,,MVP-10 SEO — info page description
meta.pages.privacy.description,Sama Link Store privacy policy — how we collect and handle your data.,,MVP-10 SEO — info page description
meta.pages.terms.description,Sama Link Store terms and conditions of use.,,MVP-10 SEO — info page description
account.title,Account,الحساب,ACCT-2 AR PROPOSED
account.signIn,Sign in,تسجيل الدخول,ACCT-2 AR PROPOSED
account.signUp,Create account,إنشاء حساب,ACCT-2 AR PROPOSED
account.signOut,Sign out,تسجيل الخروج,ACCT-2 AR PROPOSED
account.emailLabel,Email,البريد الإلكتروني,ACCT-2 AR PROPOSED
account.passwordLabel,Password,كلمة المرور,ACCT-2 AR PROPOSED
account.firstNameLabel,First name,الاسم الأول,ACCT-2 AR PROPOSED
account.lastNameLabel,Last name,اسم العائلة,ACCT-2 AR PROPOSED
account.loginCta,Sign in,تسجيل الدخول,ACCT-2 AR PROPOSED
account.registerCta,Create account,إنشاء حساب,ACCT-2 AR PROPOSED
account.loginHeading,Welcome back,مرحبًا بعودتك,ACCT-2 AR PROPOSED
account.registerHeading,Create your account,أنشئ حسابك,ACCT-2 AR PROPOSED
account.noAccountPrompt,Don't have an account?,ليس لديك حساب؟,ACCT-2 AR PROPOSED
account.hasAccountPrompt,Already have an account?,لديك حساب بالفعل؟,ACCT-2 AR PROPOSED
account.genericError,We couldn't sign you in. Check your details and try again.,تعذّر تسجيل الدخول. تحقق من بياناتك ثم حاول مرة أخرى.,ACCT-2 AR PROPOSED
account.registerError,We couldn't create your account. Try again.,تعذّر إنشاء الحساب. حاول مرة أخرى.,ACCT-2 AR PROPOSED
account.welcomeBack,"Welcome back, {name}","مرحبًا بعودتك، {name}",ACCT-2 AR PROPOSED
account.placeholderDashboard,Your account area - more features coming soon.,منطقة حسابك - مزايا إضافية قريبًا.,ACCT-2 AR PROPOSED
account.greetingSignedOut,"Hello, guest","مرحبًا، زائر",ACCT-2 AR PROPOSED
account.nav.desktopLabel,Account navigation,تنقل الحساب,ACCT-2 AR PROPOSED
account.nav.mobileLabel,Account tabs,تبويبات الحساب,ACCT-2 AR PROPOSED
account.nav.dashboard,Dashboard,لوحة الحساب,ACCT-2 AR PROPOSED
account.nav.profile,Profile,الملف الشخصي,ACCT-2 AR PROPOSED
account.nav.addresses,Addresses,العناوين,ACCT-2 AR PROPOSED
account.nav.orders,Orders,الطلبات,ACCT-2 AR PROPOSED
account.dashboard.profileSummary,Profile summary,ملخص الملف الشخصي,ACCT-2 AR PROPOSED
account.dashboard.recentOrders,Recent orders,أحدث الطلبات,ACCT-2 AR PROPOSED
account.dashboard.defaultAddress,Default address,العنوان الافتراضي,ACCT-2 AR PROPOSED
account.dashboard.editProfile,Edit profile,تعديل الملف الشخصي,ACCT-2 AR PROPOSED
account.dashboard.viewAllOrders,View all orders,عرض كل الطلبات,ACCT-2 AR PROPOSED
account.dashboard.editAddresses,Edit addresses,تعديل العناوين,ACCT-2 AR PROPOSED
account.dashboard.noOrders,No orders yet — start shopping.,لا توجد طلبات بعد — ابدأ التسوق.,ACCT-2 AR PROPOSED
account.dashboard.noAddresses,No saved addresses yet.,لا توجد عناوين محفوظة بعد.,ACCT-2 AR PROPOSED
account.dashboard.errorOrders,"Couldn't load your orders. Try again.",تعذّر تحميل طلباتك. حاول مرة أخرى.,ACCT-2 AR PROPOSED
account.dashboard.errorAddresses,"Couldn't load your addresses. Try again.",تعذّر تحميل عناوينك. حاول مرة أخرى.,ACCT-2 AR PROPOSED
account.dashboard.startShopping,Browse products,تصفح المنتجات,ACCT-2 AR PROPOSED
account.profile.heading,Profile,الملف الشخصي,ACCT-2 AR PROPOSED
account.profile.emailLabel,Email,البريد الإلكتروني,ACCT-2 AR PROPOSED
account.profile.emailHelp,Email can't be changed in this beta.,لا يمكن تغيير البريد الإلكتروني في هذه النسخة التجريبية.,ACCT-2 AR PROPOSED
account.profile.firstNameLabel,First name,الاسم الأول,ACCT-2 AR PROPOSED
account.profile.lastNameLabel,Last name,اسم العائلة,ACCT-2 AR PROPOSED
account.profile.phoneLabel,Phone,الهاتف,ACCT-2 AR PROPOSED
account.profile.phoneOptional,optional,اختياري,ACCT-2 AR PROPOSED
account.profile.saveCta,Save changes,حفظ التغييرات,ACCT-2 AR PROPOSED
account.profile.cancelCta,Cancel,إلغاء,ACCT-2 AR PROPOSED
account.profile.updateSuccess,Profile updated successfully.,تم تحديث الملف الشخصي بنجاح.,ACCT-2 AR PROPOSED
account.profile.updateError,We couldn't update your profile. Try again.,تعذّر تحديث الملف الشخصي. حاول مرة أخرى.,ACCT-2 AR PROPOSED
account.addresses.heading,Addresses,العناوين,ACCT-3 AR PROPOSED
account.addresses.subheading,Manage your saved addresses for faster checkout.,أدر عناوينك المحفوظة لتسريع إتمام الشراء.,ACCT-3 AR PROPOSED
account.addresses.addCta,Add address,إضافة عنوان,ACCT-3 AR PROPOSED
account.addresses.company,Company (optional),الشركة (اختياري),ACCT-3 AR PROPOSED
account.addresses.address1,Address,العنوان,ACCT-3 AR PROPOSED
account.addresses.address2,"Apartment, suite, etc. (optional)","شقة، جناح، إلخ. (اختياري)",ACCT-3 AR PROPOSED
account.addresses.city,City,المدينة,ACCT-3 AR PROPOSED
account.addresses.province,State / Province (optional),المنطقة / المحافظة (اختياري),ACCT-3 AR PROPOSED
account.addresses.postalCode,Postal code (optional),الرمز البريدي (اختياري),ACCT-3 AR PROPOSED
account.addresses.country,Country,الدولة,ACCT-3 AR PROPOSED
account.addresses.phone,Phone,الهاتف,ACCT-3 AR PROPOSED
account.addresses.phoneOptional,optional,اختياري,ACCT-3 AR PROPOSED
account.addresses.saveCta,Save address,حفظ العنوان,ACCT-3 AR PROPOSED
account.addresses.cancelCta,Cancel,إلغاء,ACCT-3 AR PROPOSED
account.addresses.editCta,Edit,تعديل,ACCT-3 AR PROPOSED
account.addresses.deleteCta,Delete,حذف,ACCT-3 AR PROPOSED
account.addresses.deleteConfirmCta,Confirm delete,تأكيد الحذف,ACCT-3 AR PROPOSED
account.addresses.deleteCancelCta,Cancel,إلغاء,ACCT-3 AR PROPOSED
account.addresses.createSuccess,Address saved successfully.,تم حفظ العنوان بنجاح.,ACCT-3 AR PROPOSED
account.addresses.updateSuccess,Address updated successfully.,تم تحديث العنوان بنجاح.,ACCT-3 AR PROPOSED
account.addresses.deleteSuccess,Address deleted successfully.,تم حذف العنوان بنجاح.,ACCT-3 AR PROPOSED
account.addresses.createError,"Couldn't save this address. Try again.",تعذّر حفظ هذا العنوان. حاول مرة أخرى.,ACCT-3 AR PROPOSED
account.addresses.updateError,"Couldn't update this address. Try again.",تعذّر تحديث هذا العنوان. حاول مرة أخرى.,ACCT-3 AR PROPOSED
account.addresses.deleteError,"Couldn't delete this address. Try again.",تعذّر حذف هذا العنوان. حاول مرة أخرى.,ACCT-3 AR PROPOSED
account.addresses.empty.heading,No saved addresses yet,لا توجد عناوين محفوظة بعد,ACCT-3 AR PROPOSED
account.addresses.empty.body,Add your first address to speed up checkout next time.,أضف أول عنوان لك لتسريع إتمام الشراء لاحقًا.,ACCT-3 AR PROPOSED
account.addresses.defaultShippingToggle,Set as default shipping address,تعيين كعنوان شحن افتراضي,ACCT-3 AR PROPOSED
account.addresses.defaultBadge,Default,افتراضي,ACCT-3 AR PROPOSED
account.addresses.unnamed,Saved address,عنوان محفوظ,ACCT-3 AR PROPOSED
account.ordersStub.heading,Orders,الطلبات,ACCT-2 AR PROPOSED
account.ordersStub.body,Order history will be available in the next account update.,سيتوفر سجل الطلبات في تحديث الحساب القادم.,ACCT-2 AR PROPOSED
account.ordersStub.backToAccount,Back to account,العودة إلى الحساب,ACCT-2 AR PROPOSED
topbar.announcement,"Free shipping on orders over EGP 1,500","شحن مجاني على الطلبات فوق 1,500 ج.م",ADR-045 flat refresh — AR proposed pending CONTENT-1 review
topbar.announcementCta,Shop now,تسوق الآن,ADR-045 flat refresh — AR proposed pending CONTENT-1 review
nav.catbarLabel,Category shortcuts,اختصارات الفئات,ADR-045 flat refresh — aria-label for category strip — AR proposed
nav.megaMenu.promo.tag,Limited offer,عرض محدود,ADR-045 flat refresh — mega menu feature card — AR proposed
nav.megaMenu.promo.title,Up to 30% off Wi-Fi 6 systems,خصم حتى 30٪ على أنظمة Wi-Fi 6,ADR-045 flat refresh — mega menu feature card — AR proposed
nav.megaMenu.promo.body,Free shipping · certified warranty,شحن مجاني · ضمان معتمد,ADR-045 flat refresh — mega menu feature card — AR proposed
nav.megaMenu.promo.cta,Shop deals,تسوق العروض,ADR-045 flat refresh — mega menu feature card — AR proposed
home.viewAll,View all,عرض الكل,ADR-045 flat refresh — AR proposed pending CONTENT-1 review
home.noProductsFallback,Our catalog is coming online. Check back in a moment.,كتالوج المنتجات في طريقه. عاود الاطلاع بعد لحظات.,ADR-045 flat refresh — AR proposed pending CONTENT-1 review
home.hero.eyebrow,Speed of Life,سرعة الحياة,ADR-045 flat refresh — brand tagline — AR proposed
home.hero.titleLead,Professional,اتصال احترافي,ADR-045 flat refresh — hero title part 1 — AR proposed
home.hero.titleAccent,connectivity,لكل مساحة،,ADR-045 flat refresh — hero title accented — AR proposed
home.hero.titleCoda,for every space.,بلا حدود.,ADR-045 flat refresh — hero title coda — AR proposed
home.hero.sub,"Networking, surveillance, and smart home gear — authentic, warrantied, delivered across Egypt in 48 hours.",معدات شبكات ومراقبة ومنازل ذكية — أصلية، بضمان، تصل إلى باب منزلك خلال 48 ساعة.,ADR-045 flat refresh — hero sub — AR proposed
home.hero.ctaBrowse,Browse products,تصفح المنتجات,ADR-045 flat refresh — AR proposed
home.hero.ctaCollections,View collections,عرض المجموعات,ADR-045 flat refresh — AR proposed
home.hero.trust.authentic.title,Authentic only,منتجات أصلية فقط,ADR-045 flat refresh — hero trust strip — AR proposed
home.hero.trust.authentic.body,Manufacturer-backed warranty,بضمان الشركة المصنّعة,ADR-045 flat refresh — hero trust strip — AR proposed
home.hero.trust.delivery.title,48h delivery,توصيل خلال 48 ساعة,ADR-045 flat refresh — hero trust strip — AR proposed
home.hero.trust.delivery.body,Fast shipping across Egypt,شحن سريع لكل أنحاء مصر,ADR-045 flat refresh — hero trust strip — AR proposed
home.hero.trust.cod.title,Cash on delivery,دفع عند الاستلام,ADR-045 flat refresh — hero trust strip — AR proposed
home.hero.trust.cod.body,Pay when you receive,ادفع عند وصول طلبك,ADR-045 flat refresh — hero trust strip — AR proposed
home.hero.cards.networking.eyebrow,Networking,شبكات,ADR-045 flat refresh — hero card stack — AR proposed
home.hero.cards.networking.sub,"EGP 4,299","4,299 ج.م",ADR-045 flat refresh — illustrative pricing — AR proposed
home.hero.cards.surveillance.eyebrow,Surveillance,مراقبة,ADR-045 flat refresh — hero card stack — AR proposed
home.hero.cards.surveillance.sub,IP67 · Night Vision,IP67 · رؤية ليلية,ADR-045 flat refresh — hero card stack — AR proposed
home.hero.cards.power.eyebrow,Power,طاقة,ADR-045 flat refresh — hero card stack — AR proposed
home.hero.cards.power.sub,Protection,حماية,ADR-045 flat refresh — hero card stack — AR proposed
home.hero.cards.smart.eyebrow,Smart,منزل ذكي,ADR-045 flat refresh — hero card stack — AR proposed
home.hero.cards.smart.sub,EGP 240,240 ج.م,ADR-045 flat refresh — illustrative pricing — AR proposed
home.sections.categories.eyebrow,Shop by category,تسوق حسب الفئة,ADR-045 flat refresh — section eyebrow — AR proposed
home.sections.categories.title,Everything that keeps you connected,كل ما يبقيك متصلاً,ADR-045 flat refresh — section title — AR proposed
home.sections.categories.items,"{count, plural, one {1 item} other {# items}}","{count, plural, zero {# منتج} one {منتج واحد} two {منتجان} few {# منتجات} many {# منتجًا} other {# منتج}}",ADR-045 flat refresh — plural-aware item count — AR proposed
home.sections.featured.eyebrow,Featured products,منتجات مميزة,ADR-045 flat refresh — AR proposed
home.sections.featured.title,Trending this week,الأكثر طلبًا هذا الأسبوع,ADR-045 flat refresh — AR proposed
home.sections.trending.eyebrow,Trending now,رائج الآن,ADR-045 flat refresh — AR proposed
home.sections.trending.title,Best sellers this week,الأكثر مبيعًا هذا الأسبوع,ADR-045 flat refresh — AR proposed
home.sections.why.eyebrow,Why Sama Link,لماذا سما لينك,ADR-045 flat refresh — AR proposed
home.sections.why.title,Standards we stand behind,معايير نفخر بها,ADR-045 flat refresh — AR proposed
home.sections.newsletter.eyebrow,Stay in the loop,ابقَ على اطلاع,ADR-045 flat refresh — AR proposed
